,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min_Salary,Max_Salary,Average_Salary,Company Age,Job_State,python_yn,R_yn,spark,aws,excel,Job_simple,Seniority,desc_len,num_comp
0,Data Science Manager,$97K-$157K (Glassdoor Est.),"Thank you for your interest in joining our team! We hire right, train smart, empower our employees to make decisions, and provide ample opportunities for growth and ultimate success.  Zen-Noh Grain Corporation (ZGC) was formed in 1979 to accomplish the goal of establishing a safe and stable supply of U.S. corn, milo, soybeans, and other U.S. food supplies. ZGC constructed a state-of-the-art export elevator located at mile 164 on the Mississippi River, in Convent, Louisiana. The elevator can load or unload, simultaneously, more than 150,000 bushels per hour. To this day, the Convent elevator is considered to be the fastest export elevator in the world and has undergone further upgrades to improve operational efficiency.  Do you have a data science background and are looking to join a stable and innovative organization? If so, this could be the job for YOU!  This job is primarily responsible for the development and management of data science, empowering the business to drive smart decision-making capabilities through data driven and analytical solutions in alignment with company strategy. Responsibilities include, but are not limited to, supporting data governance for critical business data, determining and implementing appropriate tools, technique and methodologies to extract data that produces meaningful results, providing strategic guidance and direction for analytical efforts and in conjunction with senior leadership, help the entire executive team continue to deepen understanding of opportunities in our business, and create strategies and tactics to capture those opportunities, across all departments. Additionally, this may role may manage staff.  In this job, you will: Identify needs, design, manage and implement big data solutions for the organization. Develop business/data requirements; business definitions of data; data flows; data mappings and lineage based on ""best practices""; specifications to model and implement data collection, optimization, solution delivery, data analytics and other strategies that optimize statistical efficiency and quality. Design and launch innovative and complex analytic models, utilizing a blend of contemporary and traditional data mining techniques, which, when applied to both structured and unstructured data sets, drive insights and benefits not otherwise apparent. Lead data analysis efforts, directing as necessary, other business and/or information analysts across one or more concurrent delivery efforts to understand and assess the availability, quality, and optimal alignment of data to meet business needs across operations and solutions. Oversee the interpretation of results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining. Develop data understanding, narratives, and data flows using methods and tools, to translate for data scientists, engineers, designers, and other product managers to shape and drive solution delivery. Perform data profiling and assessment to interpret data; analyze results using statistical techniques to provide ongoing informational, descriptive, and diagnostic evaluations and data stories; identify, analyze, and interpret trends/patterns in complex data sets; and work with management to prioritize business and information needs. Provide analysis to inform the design and delivery of the data and analytics value-oriented outcomes, solutions, platforms, and to provide services to continuously assess and generate insights to continuously improve operations, processes, and solutions. Enable and support the smooth transition of data and analytics solutions from inception through implementation and operationalization to ensure long term stability and reliability. Collaborate with other areas that are sourcing data and consuming data to align expectations as part of developing requirements, creating and executing test plans and to effectively support production processing. Present recommendations on an ongoing basis to management and trading staff as to trends impacting the grain industry and price relationships. Participate in applicable strategic planning meetings relative to capital investments, annual budgeting, and strategic relationship management. May oversee staffing activities of data science team (hiring, firing, coaching and developing, mentoring, career succession, performance and corrective actions, etc.). Other duties as assigned Here’s what you’ll need to be considered:  Education Required - Degree in Economics Finance, or related discipline. Experience Required – 5 years’ technical work experience in a data science/bid data or related analytical position, including experience coding and building databases. Preferred –Experience leading/managing a team. Knowledge, Skills, and Abilities Technical knowledge of data management, statistics and utilization of statistical packages for analyzing datasets, predictive modeling and visualization techniques. Expert level knowledge and execution capabilities of common data structures, languages, and tools (e.g. SQL, Python, R, Storm, Kafka, Neo4J). Expert level knowledge in BI reporting and database management platforms including Tableau, MicroStrategy, Redshift, DynamoDB, Hadoop, PowerBI, or Oracle. Working knowledge of a range of data management and data science approaches, tools, techniques, and methodologies in data and analytics development management. Broad understanding of data technologies and their applied usage including enterprise data platforms. Fluent in second language, including Portuguese, Japanese, Spanish, and/or Chinese. Effective interpersonal, oral and written communication skills with the ability to interact with all levels of people within and outside the organization. Expert mathematical, statistical analysis and time series skills. Expert skills with regression models (linear, logistic, stepwise, multivariate, etc.). Excellent time management and decision-making skills. Ability to disseminate significant amounts of data into clear and understandable information to use in business decisions. Ability to solve problems and validate hypothesis with bias awareness. Ability to be successful and lead others to be successful in a complex environment with multiple decision makers. Here’s additional information you need to know: Travel, minimal for trainings and meetings (may include international travel). Are you ready to make a meaningful career move & an impact at ZGC? Apply today!  Known in our industry for stability and high ethics, Zen-Noh Grain Corporation offers a stellar benefits package including: an outstanding 401(k) retirement plan with company contributions, medical, prescription drug, dental, vision, life, & disability benefits, flexible spending accounts, paid leave (holidays, vacation, sick), wellness programs, recognition programs, community involvement opportunities, and much more!  Zen-Noh Grain Corporation is an Equal Opportunity Employer. EEO is the Law links in English or Spanish.  The above is intended to describe the general content of and requirements for the performance of this position. It should not be construed as a detailed description of all the work requirements that may be performed in the job.  All Third Party Agencies, Headhunters, and Recruiters  Zen-Noh Grain Corporation and its Subsidiaries only forms contracts with recruiters with whom we have an established relationship and with whom we have in place a signed contract. All contact from third parties must go through our Human Resources Department. Any contact made outside of our Human Resources Department by a third party will cancel any future business relationships between the third party and Zen-Noh Grain Corporation and its Subsidiaries.",3.5,CGB Enterprises,"New Orleans, LA","Covington, LA",1001 to 5000 employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,"Bunge North America, Gavilon, The Andersons",97,157,127.0,51,CA,1,0,0,0,1,Data Scientist,N/A,7786,3
1,"VP, Data Science",$97K-$157K (Glassdoor Est.),"We are looking for a VP, Data Science to lead all of our Data science and R&D efforts to discover the information hidden in vast amounts of data, and help us build incredible data products. You will be joining other extremely passionate data science, product folks and engineers that share a common interest in distributed systems, performance, scale, and solving problems with software and data. Our technologies power the insights for financial service and corporate giants.  Compensation package includes highly competitive salary, bonus, equity interest and the valuable business experiences, challenges and excitement of a fast growing technology startup company.  Responsibilities Lead, nurture and grow a very talented data science team Lead discovery processes with stakeholders to identify the product requirements and the expected outcome Manage multiple projects in parallel and oversee their completion from start to finish, setting goals and project milestones Conceptualize and plan leading-edge analytic and quantitative tools and modeling techniques to help 7Park Data’ clients gain insights and improve decision-making Review internal and external analytical techniques, identify what data is available and relevant and source the necessary data Collaborate with the Engineering team to deploy solutions to production Make strategic recommendations to technology, product, and senior management Be the voice of data science internally and represent 7Park externally Requirements Master’s Degree from top tier university in Computer Science, Statistics, Mathematics, Economics or similar quantitative discipline. PhD preferred Minimum 8+ Years of relevant professional experience with a proven track record of leveraging analytics and large amounts of data to drive significant business impact Extensive experience with data exploration, data cleaning, implementation of advanced statistical and machine learning algorithms (e.g., time-series analysis and forecasting, clustering, and advanced classification and regression techniques such as decision trees, neural networks, deep learning, and ensemble algorithms), as well as rigorous model validation and evaluation Excellent interpersonal and leadership skills with the ability to develop and guide team members to deliver actionable results Fluency in R or Python Modeling/mining large data sets using Apache Spark, Databricks",3.9,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,97,157,127.0,8,NY,1,0,1,0,1,Data Scientist,N/A,2397,0
2,People Data Science and Analytics Lead,$97K-$157K (Glassdoor Est.),"Location: Remote   Coinbase has built the world's leading compliant cryptocurrency platform serving over 30 million accounts in more than 100 countries. With multiple successful products, and our vocal advocacy for blockchain technology, we have played a major part in mainstream awareness and adoption of cryptocurrency. We are proud to offer an entire suite of products that are helping build the cryptoeconomy, and increase economic freedom around the world.  There are a few things we look for across all hires we make at Coinbase, regardless of role or team. First, we assess whether a candidate demonstrates our values: Clear Communication, Positive Energy, Efficient Execution, and Continuous Learning. Second, we look for signals that a candidate will thrive in a culture like ours, where we default to trust, embrace feedback, disrupt ourselves, and expect sustained high performance because we play as a championship team. Finally, we seek people with the desire and capacity to build and share expertise in the frontier technologies of crypto and blockchain, in whatever way is most relevant to their role.  Read more about our values and culture here.  We are reimagining People Analytics at Coinbase, and you will have the opportunity to build the strategy and team from the ground up. We are looking for candidates who are doers; those who are energized by the opportunity to get in the weeds, build our foundations, and scale our People Analytics practices for the next phase of Coinbase's growth.  Data-backed decision making is core to Coinbase's culture, and our People Analytics team strives to introduce data to inform, and ultimately drive, every people-related decision we make.  We partner with our Executive Team and other key leaders to ensure they have a deep understanding of their team's composition, health, engagement, and performance through dashboarding and bespoke analysis, help them anticipate key People decisions, and help them make those judgements with high confidence by providing the data they need. We also drive the charge on proactively identifying org-wide talent management opportunities to ensure we are attracting, retaining, and developing highly engaged and high performing teams.  What you'll be doing (ie. Job Responsibilities) Building out and maintaining the People Analytics database. This includes constructing the architecture, and integrating multiple systems and data sources to build large and complex data sets to make them usable for analytics studies. Developing core metrics and dashboards to ensure our business leadership have easy access to the right information when monitoring organizational health and making talent decisions. Initiating and executing on data-guided analyses to help solve, inform, and support our Executive Team and our Employee Experience Centers of Excellence (i.e., Learning and Development; Total Rewards; Belonging, Inclusion, and Diversity, etc.) drive a highly engaged and performant employee base Leveraging our People Data to proactively identify new opportunities to drive high engagement, retention, and performance across the company. Working with our Employee Experience Centers of Excellence to design programs with end state analysis in mind Developing compelling, logically structured, and visually impressive presentations that will be shared at the Employee Experience Leadership Team and Executive Team level. Keeping up-to-date and introducing latest trends from technology, people analytics, and data science research to inform our team's strategy. What we look for in you (ie. Job Requirements) 6+ years relevant experience covering: statistical techniques, advanced research design, and analytics/decision sciences with expertise in predictive modeling, time series forecasting, natural language processing (content and sentiment analysis), network analysis, machine learning, data mining, etc. Experience with SQL, and other analytics tools, data visualization tools (e.g. Tableau, Google Data Studio), and data pipeline tools (e.g., Airflow). Experience managing and working with large databases, data management, including understanding of various data structures and common methods in data transformation, data validation and audit. Passion for HR innovation and a clear vision for how we can use People Analytics to drive meaningful impact towards business priorities. Excellent consulting and collaborative skills – ability to translate business problems into research/analytics studies, as well as ability to communicate the results of analyses with business partners to impact strategy and action High integrity and discretion. People data is some of our most sensitive data and we expect employees with access to this to act with utmost professionalism. Coinbase is committed to diversity in its workforce and is proud to be an equal opportunity employer and to review all of our job postings to minimize biased language. Coinbase does not make hiring or employment decisions on the basis of race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other basis protected by applicable local, state or federal law. Coinbase will also consider for employment qualified applicants with arrest and conviction records in a manner consistent with San Francisco's Fair Chance Ordinance and similar local laws.  Global Data Privacy Notice for Job Candidates and Applicants  Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how your data will be processed as part of the application procedure for application locations is available here: Ireland/EU, United Kingdom, and California. By submitting your application, you are agreeing to our use and processing of your data as required.",4.0,Coinbase,Remote,"San Francisco, CA",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,97,157,127.0,8,Remote,0,0,0,1,1,Data Scientist,Senior,5980,0
3,Data Science Intern,$97K-$157K (Glassdoor Est.),"Fullpower® designs, develops and operates a complete platform for hybrid Edge/Cloud AI, algorithms, big data, predictive analytics, together with end-to-end engineering services. The Company’s platform is backed by a patent portfolio of 125+ patents. The Company’s key areas of expertise are biomedical, non-invasive PSG-level sleep technology. The Company’s markets are in Medical Solutions, Clinical Trials, SmartHome and Wearable. Fast growing with endless opportunities, come join the Fullpower world-class team.  Fullpower Technologies is seeking passionate, team-oriented, and self-motivated data science interns to join our team.  Overview:  Work to connect biomedical data with medical, health, and fitness outcomes Collaborate closely with an interdisciplinary team of scientists, engineers, mathematicians Responsibilities may include: Develop machine learning and statistical models Perform analytics across large databases of sleep, activity, and health data Develop visualizations and tools for understanding and annotating data Design and run experiments Preferred Qualifications: Experience in Python and data-science-related packages such as pandas and scikit-learn Experience working with databases including familiarity with SQL Experience with deep learning frameworks such as TensorFlow, PyTorch, or equivalent Requirements: Pursuing or recent BS or higher degree in Mathematics, Physics, Computer Science, Engineering, or a related discipline Experience with and enthusiasm for machine learning, data analytics, visualization, and/or statistics High self motivation and positive attitude Fullpower does not sponsor work visas — must already be authorized to work in the United States",4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,₹1 to ₹5 billion (INR),-1,97,157,127.0,17,CA,1,0,0,0,0,Data Scientist,N/A,1704,0
4,Quality Systems Data Science Engineer,$97K-$157K (Glassdoor Est.),"It is our people behind life’s passions who will make the big difference. If you are interested in becoming part of a company that delivers market leading products, driving your own career and working with brands committed to active lifestyles, then you’ve found your fit.  Have what it takes? Join us.  Job Title:  Quality Systems Data Science Engineer  Location:  W6250 Pioneer Road, Fond du Lac, WI 54935  Duties:  Analyze the data systems in the assembly, machining and coating operations. Work closely with the Controls, IT, Production, Materials and Operations groups to ensure that quality data is received from multiple management systems such as in-process validations and other areas in the operations. Act as Business Analytics subject matter expert representing Operations in strategic development of metrics and related analytics. Extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure. Use PowerQuery, M and DAX to develop data models and visualize data using Power BI. Use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel. Improve processes to reduce common cause variability and eliminate special cause by following Problem Solving techniques such as Six Sigma (DMAIC). Design dashboards and related analytics that provide information appropriate for all levels of the organization. Develop scalable and reliable datasets, reports and dashboards. Ensure appropriate collection of quality data, analyze the data for trends, identify corrective action opportunities, and drive corrective action activities. Facilitate the definition and execution of design verifications and manufacturing control plans.  Education + Experience Requirements  Master’s degree in industrial engineering or manufacturing engineering and two (2) years of experience as a quality engineer  Special Skills:  Must have work experience in each of the following: 1) extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure; 2) use PowerQuery, M and DAX to develop data models and visualize data using Power BI; and 3) use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel.  Salary:  $78,500  Apply:  www.brunswick.com  We are the people behind life’s passions.  Brunswick does not accept applications, inquiries or solicitations from unapproved staffing agencies or vendors. For help, please contact our support team at: hrsharedservices@brunswick.com or 866-278-6942.  Equal Opportunity Employer: Minorities/Women/Protected Veterans/Disabled  EEO is The Law - click here for more information  Brunswick and Workday Privacy Policies  #Brunswick Corporation - Mercury Marine",3.7,Mercury Marine,"Fond du Lac, WI","Fond du Lac, WI",1001 to 5000 employees,1939,Company - Public,Consumer Products Manufacturing,Manufacturing,₹100 to ₹500 billion (INR),"Harley-Davidson, Inc., Oshkosh Corporation, Kohler",97,157,127.0,81,WI,0,0,0,0,1,Data Scientist,N/A,2836,4
5,"Director, Data Science",$97K-$157K (Glassdoor Est.),"Reporting to the Sr. Director, Analytics & Data, the Director of Data Science will direct the selection, planning and completion of all data science opportunities that involve high impact, customer-affecting tactics and strategies working in partnership with various functional and business partners.  The decisions made by this position have a profound impact on the organization through the development of analytical work that influences overall company direct marketing, catalog, eCommerce, branch, and sales force strategies and enhances the success of tactical initiatives. The role is critical to company’s continued transformation to an increasingly digital and data-driven organization.  Principal Duties & Responsibilities: Work with internal senior leaders and business partners to identify key areas for Data Science to impact customer experience and demand generation across domains that include sales force, marketing and website Create and align on a roadmap to execute against the priorities Research and recommend data science solutions for improved effectiveness and delivery of demand generation initiatives Direct the design, development, and delivery of data science initiatives across the organization Partner with internal senior leaders to ensure these business initiatives are executed with optimal chance of success and adoption Direct, coach, and mentor a growing talented team of data scientists, while creating an inclusive environment Provide thought leadership around the data and computing environment necessary for optimal success Appropriately communicate and represent the work performed by the team to senior leadership within the company Preferred Education & Experience: Bachelor’s degree in statistics, economics, mathematics, or related field. Master’s in statistics, economics, data science, or analytics preferred 10+ years equivalent work experience required. Experience directing a Data Science program in a company, that includes demonstrable impact via development and implementation of Data Science based products and product roadmaps Experience with linear regression, logistic regression, cluster analysis, time series analysis, and machine learning/ AI techniques Experience with SAS, R, Python, and SQL Knowledge of artificial intelligence systems, including image recognition Ability to assume high exposure responsibilities and interact with senior leadership Strong business acumen and a strategic mindset Excellent and proven communication skills Ability to establish and sustain strong business relationships and effectively prioritize business needs Grainger is an Equal Opportunity Workplace and an Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.  #dice  Apply Now",3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,₹500+ billion (INR),-1,97,157,127.0,93,IL,1,0,0,0,1,Data Scientist,N/A,2910,0
6,Director of Data Science,$97K-$157K (Glassdoor Est.),"KnowBe4, Inc. is a high growth information security company. We are the world's largest provider of new-school security awareness training and simulated phishing. KnowBe4 was created to help organizations manage the ongoing problem of social engineering. Tens of thousands of organizations worldwide use KnowBe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.  We have ranked a best place to work for women, millennials, and in technology nationwide by Fortune Magazine as well as #1 or #2 in The Tampa Bay Top Workplaces Survey for the last five years. We have also had 27 record-setting quarters in a row.  As the Director of Data Science, you will be responsible for building and running the Data Science Team to discover information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products.  The Data Science Team will apply data mining techniques, doing statistical analysis, and building high quality prediction systems, integrated with our products in a fast-paced, agile development environment.  You will have a key role in determining the strategy that KnowBe4 will take in the application of Machine Learning in its future products and platforms.  Responsibilities: Provide genuine recommendations as to the as to hire, fire, discipline and promotion of subordinate employees which the company gives significant weight Help build a portfolio of products and features using artificial intelligence, machine learning and advanced computing. Collaborate with product managers and fellow engineers to establish and refine requirements. Provide leadership and technical vision for your team. Ensure that your teams follow our established SDLC policies. Minimum Qualifications: 2+ years managing software engineering teams (Director-level experience not required). 5+ years of experience with machine learning and AI. Bachelor's Degree in Math, Statistics or Computer Science. Strong experience building machine learning models using Tensorflow and Python or similar technologies. Hands-on experience developing and deploying models in AWS. Sagemaker, RDS experience is a plus. Strong background in statistics. Expert level knowledge in R or Python for data science. Experience with Spark for machine learning. Experience with ML model selection. Experience with deep learning frameworks. Able to leverage structured formats like JSON, YAML, XML and related technologies to build scalable, testable RESTful applications. Experience with relational databases and the 'big data' ecosystem and tools. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Preferred Skills but not required: Expertise in deep learning Expertise in reinforcement learning Expertise in Big Data technologies Expertise in Java Experience setting up a data science platform Note: An applicant assessment, background check and drug test may be part of your hiring procedure.  No recruitment agencies, please.  Candidates must be eligible to work in the United States.",4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,₹10 to ₹50 billion (INR),-1,97,157,127.0,10,FL,1,0,1,1,0,Data Scientist,N/A,3155,0
7,Internship - Data Science,$97K-$157K (Glassdoor Est.),"Internship - Data Science  Job Details Level Entry Job Location NLC - Washington, DC Position Type Internship Education Level 4 Year Degree Salary Range $15.00 - $15.00 Hourly Travel Percentage None Job Shift Day Job Category Undisclosed Description The National League of Cities (NLC) is seeking talented young leaders looking to make a change to a career in data science. In recent years Big Data analytics has been a growing challenge and need for cities big and small-- to help improve decision making, the delivery of public services, and effective use of public dollars.  Intern activities may include but are not limited to: Advise NLC program teams on best data science tools and techniques to support their work; Collaborate in development of member retention model using internal member database; Support data requests from NLC staff, members, corporate partners, and other partners; and Contribute to NLC’s long-term data strategy and vision including the identification of data and research most timely and relevant to our member cities. Interns will have the opportunity to: Engage with member cities and corporate and other organizational partners Collaborate and network with NLC staff and other interns; Attend conferences, webinars, and trainings to learn new technical and research skills; and Participate in NLC events such as Congressional City Conference (CCC) and City Summit. Skills and Qualifications Currently enrolled in and pursuing a graduate degree in Data Science, Public Policy, or other related degree program such as an MBA Coursework or professional experience with data management and hygiene Database management and developing queries using SQL Familiarity with data analytics tools and packages such as R, Python, SAS, and ArcGIS Excellent oral, written, and interpersonal communication skills Experience with natural language processing and machine learning a plus Passion for cities both large and small! What makes each community unique and how can we unleash the full potential of each? We currently have 2 intern positions to start in August 2020 and end in December 2020 and are looking for candidates who can work 10-20hrs/week Monday through Friday. Pay will be $15.00/hr. Applicants MUST be U.S. citizens or permanent residents. Please elaborate on your skills and qualifications in your cover letter and send with resume to David Park (park@nlc.org). Qualifications",2.5,National League of Cities,"Washington, DC","Washington, DC",51 to 200 employees,1991,Non-profit Organisation,Membership Organisations,Business Services,₹100 to ₹500 million (INR),-1,97,157,127.0,29,DC,1,0,0,0,1,Data Scientist,N/A,2412,0
8,Mentor Waitlist - Data Science Course (Part-Time/Online),$97K-$157K (Glassdoor Est.),"Please note: we are currently at capacity for Data Science Mentors. However, we'd still love to connect with you! By applying to this role, you will be added to our Data Science Course Mentor waitlist. We will contact you as soon as we re-open our hiring process.  The Opportunity Springboard runs online, self-paced, Python- and R-based Data Science workshops in which participants learn with the help of a curated curriculum and 1-1 guidance from an expert mentor.  Our mentor community - the biggest strength of our programs - comprises experts from the best organizations in the world. Our mentors range from data scientists and researchers at premier companies (Uber, Pandora, LinkedIn, Apple) to a wide variety of top-notch startups and consulting firms.  If you are as passionate about mentoring as you are about Data Science, and can give a few hours per week in return for an honorarium, we would love to hear from you. The Program Completely online Most are designed to be complete in 3-6 months or less, depending on the course Participants in this course are working professionals and college students from all over the world, interested in getting started with data science. Participants learn about Data Science with the help of a curated online curriculum and a personal mentor. They go through the curriculum at their own pace and have a weekly 30-minute checkin with their mentor to discuss questions, projects, and career advice! You: are as passionate about teaching Data Science as you are about Data Science itself are that rare combination of programming, statistics and storytelling skills are proficient in the curriculum topics of at least one of our programs: Data Science Career Prep and/or Data Science Career Track (taught in Python) are available for weekly, 30-minute video check-ins with students to help them set and achieve learning goals, answer subject matter questions, provide feedback on projects, and career advice + 10-15 minutes to prepare for each call have at least 2 years of experience solving real-life data science problems, and are comfortable working with large data sets are empathetic and have excellent communication skills Benefits: Membership in a rich community of expert mentors from great companies like Apple, Uber, and Pandora Change the lives of students in our program Help us revolutionize online education! Receive a monthly per-student honorarium Work at your convenience We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.6,Springboard,Remote,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,-1,97,157,127.0,7,Remote,1,0,0,0,1,Data Scientist,N/A,2675,0
9,Data Science Software Engineer,$97K-$157K (Glassdoor Est.),"We love programming and the excitement that comes with building something people use. We are the kind of people that love talking to users and can find the balance between solving a problem quickly and thinking about how your code will work in the future. We love to move fast, keep learning and get stuff done.  Our data science team is still in its early days and you'll have a big impact on our direction and how we operate. You'll be central to researching, developing and shipping products that help our customers learn and grow from their data. For this role, we're looking for people who have developed split brains--software engineers who have become great at writing machine learning code or data scientists who have become great software developers.  Technologies we use (not comprehensive!): Python  Numpy, Scipy, Pandas  Aurora, Cassandra, Kafka  HTML, JavaScript, React  SageMaker  How you will make a difference:   Analyze large data sets (we're collecting billions of individual actions every month). Build products that enable our customers to grow faster and communicate more effectively with their customers. Develop machine learning models and pipelines for research and production.  Who You Are:   Have experience implementing machine learning models, data pipelines and testing frameworks for research and production use. Have demonstrated a measurable impact based on the models you've created. It's not always easy getting a model correct, we love talking about places we got stuck and work as a team to think through ideas that could unblock us. Have experience processing cloud-scale data using parallel, elastic, streaming and similar techniques. Enjoy tuning and validating machine learning models and take a rigorous approach. Understand how to profile code and optimize performance. Aspire to correctness (e.g. in your code, in drawing conclusions from data) Have a bachelor's or advanced degree in computer science, applied math, statistics or other relevant quantitative discipline, or equivalent industry experience.  Get to know Klaviyo  Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.",4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,97,157,127.0,8,MA,1,0,0,0,0,Data Scientist,N/A,2762,0
